state,district,block,village,lgd_code
Madhya Pradesh,Barwani,Sendhwa,Shivanyapani,478616
Madhya Pradesh,Barwani,Pati,Shivni,478166
Madhya Pradesh,Barwani,Niwali,Sidadi,478506
Madhya Pradesh,Barwani,Rajpur,Sidadi,478313
Madhya Pradesh,Barwani,Niwali,Sidardi,478569
Madhya Pradesh,Barwani,Thikri,Sikandar Khedi,478244
Madhya Pradesh,Barwani,Barwani,Silawad,478056
Madhya Pradesh,Barwani,Niwali,Sildad,478541
Madhya Pradesh,Barwani,Pati,Sindhi,478125
Madhya Pradesh,Barwani,Pati,Sindhi Khodri,478135
Madhya Pradesh,Barwani,Pati,Sindhwani,478164
Madhya Pradesh,Barwani,Rajpur,Singun,478301
Madhya Pradesh,Barwani,Pati,Siraspani,478152
Madhya Pradesh,Barwani,Thikri,Sirsala,478236
Madhya Pradesh,Barwani,Barwani,Sirsani,477995
Madhya Pradesh,Barwani,Sendhwa,Sirwel,478648
Madhya Pradesh,Barwani,Sendhwa,Sivanya,478637
Madhya Pradesh,Barwani,Rajpur,Siwai,478347
Madhya Pradesh,Barwani,Varla,Solwan,478655
Madhya Pradesh,Barwani,Barwani,Sondul,477990
Madhya Pradesh,Barwani,Varla,Sonkhedi,478695
Madhya Pradesh,Barwani,Barwani,Sukhpuri,478046
Madhya Pradesh,Barwani,Niwali,Sulgaon,478508
Madhya Pradesh,Barwani,Thikri,Sundarla,478197
Madhya Pradesh,Barwani,Anjad,Surana,478264
Madhya Pradesh,Barwani,Sendhwa,Surani,478640
Madhya Pradesh,Barwani,Barwani,Sustikheda,478045
Madhya Pradesh,Barwani,Rajpur,Takli,478384
Madhya Pradesh,Barwani,Sendhwa,Takyapani,934974
Madhya Pradesh,Barwani,Anjad,Takyapur,478270
Madhya Pradesh,Barwani,Niwali,Talav,478560
Madhya Pradesh,Barwani,Barwani,Taloon Buzurg,478025
Madhya Pradesh,Barwani,Barwani,Taloon Khurd,478026
Madhya Pradesh,Barwani,Barwani,Talwada Buzurg,478031
Madhya Pradesh,Barwani,Anjad,Talwada Deb,478279
Madhya Pradesh,Barwani,Barwani,Tangda,478058
Madhya Pradesh,Barwani,Pati,Tapar,478109
Madhya Pradesh,Barwani,Pati,Tapkala,478128
Madhya Pradesh,Barwani,Pansemal,Temala,478416
Madhya Pradesh,Barwani,Rajpur,Temala Khurd,478351
Madhya Pradesh,Barwani,Thikri,Temla,478224
Madhya Pradesh,Barwani,Barwani,Temla,478067
Madhya Pradesh,Barwani,Rajpur,Temla Buzurg,478343
Madhya Pradesh,Barwani,Rajpur,Temla(Panwa),478331
Madhya Pradesh,Barwani,Pansemal,Temli,478403
Madhya Pradesh,Barwani,Rajpur,Than,478366
Madhya Pradesh,Barwani,Pati,Than,478134
Madhya Pradesh,Barwani,Pati,Thengcha,478131
Madhya Pradesh,Barwani,Thikri,Thikri,478245
Madhya Pradesh,Barwani,Sendhwa,Tighali,478609
Madhya Pradesh,Barwani,Pansemal,Tilli Khet,478462
Madhya Pradesh,Barwani,Thikri,Titgaria,478206
Madhya Pradesh,Barwani,Pati,Tuwarkherda,478144
Madhya Pradesh,Barwani,Pati,Ubadgarh,478167
Madhya Pradesh,Barwani,Anjad,Uchawad,478284
Madhya Pradesh,Barwani,Anjad,Ujawani,478287
Madhya Pradesh,Barwani,Pansemal,Umarbeda,478480
Madhya Pradesh,Barwani,Thikri,Umarda,478242
Madhya Pradesh,Barwani,Sendhwa,Umari Urf Lakdiya,478628
Madhya Pradesh,Barwani,Anjad,Umariya,478261
Madhya Pradesh,Barwani,Niwali,Umariyapani,478550
Madhya Pradesh,Barwani,Sendhwa,Umariya Pani,478698
Madhya Pradesh,Barwani,Pati,Umariya Pani,478188
Madhya Pradesh,Barwani,Varla,Umarti,478673
Madhya Pradesh,Barwani,Barwani,Umedada,478049
Madhya Pradesh,Barwani,Rajpur,Unchi,478345
Madhya Pradesh,Barwani,Rajpur,Upla,478314
Madhya Pradesh,Barwani,Barwani,Utawad,478021
Madhya Pradesh,Barwani,Pati,Valan,478104
Madhya Pradesh,Barwani,Pansemal,Valpani,478483
Madhya Pradesh,Barwani,Pati,Van,478165
Madhya Pradesh,Barwani,Barwani,Varlyapani,478039
Madhya Pradesh,Barwani,Pansemal,Vasalyapani,478486
Madhya Pradesh,Barwani,Barwani,Vedpuri,478066
Madhya Pradesh,Barwani,Pati,Verwada,478098
Madhya Pradesh,Barwani,Varla,Vilva,478686
Madhya Pradesh,Barwani,Thikri,Vishwanath Kheda,478207
Madhya Pradesh,Barwani,Niwali,Wajhar,478507
Madhya Pradesh,Barwani,Sendhwa,Wakya,478626
Madhya Pradesh,Barwani,Pansemal,Wangra,478454
Madhya Pradesh,Barwani,Sendhwa,Wanihar,478589
Madhya Pradesh,Barwani,Varla,Warla,478664
Madhya Pradesh,Barwani,Niwali,Warlyapani,478523
Madhya Pradesh,Barwani,Niwali,Wasawi,478536
Madhya Pradesh,Barwani,Rajpur,Waswi,478359
Madhya Pradesh,Barwani,Sendhwa,Zandikhodari,934973
Madhya Pradesh,Barwani,Sendhwa,Zapadimali,934972
